Mineral_Commodity,Year,Note,Quantity,Data_type,Unit_MEAS,Form,Geographic_Region,Figure_Use,Data Sources,,,,,,,,,,,,,,,,
Cobalt,2022,estimated,2000,Production,Metric tons,"Ore, Cobalt content",China,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,144000,Production,Metric tons,"Ore, Cobalt content",Congo (Kinshasa),Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,3700,Production,Metric tons,"Ore, Cobalt content",Cuba,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,1235,Production,Metric tons,"Ore, Cobalt content",Finland,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,9600,Production,Metric tons,"Ore, Cobalt content",Indonesia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,"revised, estimated",4000,Production,Metric tons,"Ore, Cobalt content",Madagascar,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,600,Production,Metric tons,"Ore, Cobalt content",Mexico,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,1700,Production,Metric tons,"Ore, Cobalt content",Morocco,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,2000,Production,Metric tons,"Ore, Cobalt content",New Caledonia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,2987,Production,Metric tons,"Ore, Cobalt content",Papua New Guinea,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,estimated,3900,Production,Metric tons,"Ore, Cobalt content",Philippines,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,9200,Production,Metric tons,"Ore, Cobalt content",Russia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,250,Production,Metric tons,"Ore, Cobalt content",South Africa,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
